"form","state","region","female","age","class","OCCUPATION1","OCCUPATION2","OCCUPATION3","black","size","education","AGE_3WAY","AGE40","OCC8","prof","REGION4","EDU_RECODE","VOTE_PRO","VOTE_RETRO","PHONE_RECODE","CAR_RECODE","ballot","Q1","Q2","Q3","Q4A","Q4B","Q4C","Q5A","Q5B","farm","SIZE3","urban","StPOAbrv","SOUTH11","SOUTH11xBLACK","SOUTH12","SOUTH12xBLACK","south","SOUTHxBLACK","year","WtPubFeas","WtVotFeas"
,"Arkansas","South and Southwest","Male","45-54 yrs","Av+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","South",,"fdr","fdr",,"Car",53,"No","Yes","No","Landon","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","ar","South","South White","South","South White","South","South White",1936,0.417279750686932,0.375757763731282
,"Minnesota","West Central","Male","55 yrs and over","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"No car",53,"Yes","No","No","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","mn","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"South Dakota","West Central","Male","55 yrs and over",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"Yes","Yes","No","Roosevelt","Landon","Landon","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","sd","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"South Dakota","West Central","Male","55 yrs and over",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"Yes","Yes","No","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","sd","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Wisconsin","West Central","Male","35-44 yrs","Av","Professiol",,,"White","Urban",,,,"Professional","Professional","Midwest",,"Landon","Hoover",,"Car",53,"No","Yes","No","Landon","Landon","Neither","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","wi","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,1.93129369210329,2.26620000324791
,"South Dakota","West Central","Male","45-54 yrs","P or P+","Skilled workers",,,"White","Small town",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,,,"No","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Rural Non-Farm","Non-Urban","sd","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,1.31997438297921,1.53816367494089
,"Minnesota","West Central","Male","45-54 yrs","or","Unskilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"Yes","No","No","Landon","Landon","Neither","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","mn","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Minnesota","West Central","Male","45-54 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"Yes","Yes","No","Landon","Landon",,"Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","mn","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Minnesota","West Central","Male","45-54 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"Yes","Yes","No","Landon","Landon","Roosevelt","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","mn","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"North Dakota","West Central","Male","45-54 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"Yes","Yes","No","Roosevelt","Landon","Landon","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","nd","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Wisconsin","West Central","Male","45-54 yrs","Av+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"Yes","Yes","No","Landon","Roosevelt","Neither","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","wi","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Iowa","West Central","Male","45-54 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"No","Yes","No","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","ia","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Iowa","West Central","Male","45-54 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"No",,"No","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","ia","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Minnesota","West Central","Male","45-54 yrs","P or P+","Unskilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"No","Yes","No","Roosevelt","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","mn","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Minnesota","West Central","Male","35-44 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"No car",53,"No","No","No","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","mn","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"South Dakota","West Central","Male","35-44 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"No","Yes","No","Landon","Lemke","Neither","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","sd","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"South Dakota","West Central","Male","35-44 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"Yes","Yes","No","Landon","Landon","Roosevelt","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","sd","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Ohio","East Central","Male","35-44 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"Other","Hoover",,"Car",53,"No","Yes","No","Landon","Landon","Both candidates","Lemke","Yes, voted for Hoover","Farm","Farm","Non-Urban","oh","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"New York","Middle Atlantic","Female","25-34 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Northeast",,"Other","Hoover",,"No car",53,,"No","No","Roosevelt","Roosevelt","Landon","Lemke","Yes, voted for Hoover","Non-Farm","Urban","Urban","ny","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,1.59070249766817,1.85369338371838
,"Pennsylvania","Middle Atlantic","Male","25-34 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Other",,"Car",53,"No","No","No","Landon","Landon","Both candidates","Landon","Yes, voted for Thomas","Non-Farm","Urban","Urban","pa","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.425908428241295,0.479531630338573
,"Iowa","West Central","Male","55 yrs and over","P or P+","Other and None",,,"White","Small town",,,,"Other","Not Professional","Midwest",,,,,"No car",53,"No",,"No","Roosevelt","Landon","Landon",,,"Non-Farm","Rural Non-Farm","Non-Urban","ia","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,1.31997438297921,1.53816367494089
,"Ohio","East Central","Female","55 yrs and over","P or P+","Other and None",,,"White","Urban",,,,"Other","Not Professional","Midwest",,,"Other",,"No car",53,"No","No","No","Landon",,"Roosevelt",,"Yes, voted for Thomas","Non-Farm","Urban","Urban","oh","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,1.00529750696792,1.29685398102236
,"Arkansas","South and Southwest","Male",,,"Other and None",,,"White","Farm",,,,"Other","Not Professional","South",,,,,"Car",53,"No",,"No","Roosevelt","Roosevelt","Roosevelt",,,"Farm","Farm","Non-Urban","ar","South","South White","South","South White","South","South White",1936,0.905992083252721,0.765790702761613
,"Arkansas","South and Southwest","Male","25-34 yrs","P or P+","Professiol",,,"White","Urban",,,,"Professional","Professional","South",,"Other","Other",,"Car",53,"No","Yes","No","Landon","Roosevelt","Neither","Thomas","Yes, voted for Thomas","Non-Farm","Urban","Urban","ar","South","South White","South","South White","South","South White",1936,1.95986955947616,1.96827387136898
,"North Carolina","South and Southwest","Male","35-44 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","South",,"Other","Other",,"Car",53,,"No","No","Roosevelt","Roosevelt","Roosevelt","Thomas","Yes, voted for Thomas","Farm","Farm","Non-Urban","nc","South","South White","South","South White","South","South White",1936,0.905992083252721,0.765790702761613
,"Kentucky","South and Southwest","Male","55 yrs and over","P or P+","Other and None",,,"White","Urban",,,,"Other","Not Professional","South",,,"Other",,"No car",53,,"No","No","Thomas",,"Don't read a paper",,"Yes, voted for Thomas","Non-Farm","Urban","Urban","ky","Non-South","Non-South White","Non-South","Non-South White","South","South White",1936,0.417279750686932,0.375757763731282
,"Montana","Rocky Mountain","Female","35-44 yrs","P or P+","Other and None",,,"White","Urban",,,,"Other","Not Professional","West",,,,,"Car",53,"Yes",,"No","Roosevelt","Roosevelt","Roosevelt",,,"Non-Farm","Urban","Urban","mt","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.872929664813964,1.03604167537053
,"Tennessee","South and Southwest","Male","55 yrs and over",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","South",,,,,"Car",53,"Yes","No","No",,"Roosevelt","Don't read a paper",,,"Farm","Farm","Non-Urban","tn","South","South White","South","South White","South","South White",1936,0.905992083252721,0.765790702761613
,"Ohio","East Central","Male","45-54 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"No","Yes","No","Landon","Landon",,"Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","oh","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Indiana","East Central","Male","35-44 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"No","Yes","No","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","in","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Illinois","East Central","Female","35-44 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"No","Yes","No","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","il","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,1.00529750696792,1.29685398102236
,"Indiana","East Central","Male",,,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"Yes","Yes","No","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","in","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Illinois","East Central","Male","55 yrs and over","or","Unskilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"No car",53,"Yes",,"No",,,"Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","il","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Indiana","East Central","Male","35-44 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"Yes","Yes","No","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Farm","Farm","Non-Urban","in","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Indiana","East Central","Male","35-44 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"No car",53,"Yes","Yes","No","Landon","Roosevelt","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","in","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Ohio","East Central","Male","35-44 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"No car",53,"No","Yes","No","Landon","Landon","Both candidates","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","oh","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Ohio","East Central","Male","35-44 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"No car",53,"No","Yes","No","Landon","Landon",,"Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","oh","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Michigan","East Central","Male","25-34 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"No car",53,"Yes",,"No","Landon","Landon","Both candidates","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","mi","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Illinois","East Central","Male","25-34 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"Car",53,"Yes","No","No","Roosevelt","Roosevelt","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","il","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Ohio","East Central","Male","55 yrs and over","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"Landon","Hoover",,"No car",53,"No","No","No","Roosevelt",,"Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","oh","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Indiana","East Central","Male","55 yrs and over","or","Unemployed",,,"White","Urban",,,,"Unemployed","Not Professional","Midwest",,"Landon","Hoover",,"No car",53,"Yes","Yes","No",,,"Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","in","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Pennsylvania","Middle Atlantic","Male","35-44 yrs","P or P+","Skilled workers",,,"White","Small town",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,"Car",53,"No","No","No","Landon","Landon","Neither","Landon","Yes, voted for Hoover","Non-Farm","Rural Non-Farm","Non-Urban","pa","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,1.82430664982231,1.91625091342536
,"Pennsylvania","Middle Atlantic","Male","35-44 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,"Car",53,"No","No","No",,"Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","pa","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.425908428241295,0.479531630338573
,"New York","Middle Atlantic","Female","45-54 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,"Car",53,"Yes","Yes","No","Landon","Landon","Landon","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ny","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,1.59070249766817,1.85369338371838
,"New York","Middle Atlantic","Male","35-44 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Hoover",,"Car",53,,,"No","Roosevelt","Roosevelt","Neither","Landon","Yes, voted for Hoover","Non-Farm","Urban","Urban","ny","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.425908428241295,0.479531630338573
,"Tennessee","South and Southwest","Male","55 yrs and over",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","South",,"fdr","fdr",,"Car",53,"No","Yes","No","Roosevelt","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","tn","South","South White","South","South White","South","South White",1936,0.905992083252721,0.765790702761613
,"Tennessee","South and Southwest","Male","25-34 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","South",,"fdr","fdr",,"Car",53,,"Yes","No","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","tn","South","South White","South","South White","South","South White",1936,0.905992083252721,0.765790702761613
,"California","Pacific Coast","Male","55 yrs and over","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","West",,"fdr","fdr",,"No car",53,"Yes","No","No","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","ca","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.395121839116121,0.447394076210309
,"California","Pacific Coast","Female","25-34 yrs","P or P+","Other and None",,,"White","Urban",,,,"Other","Not Professional","West",,"fdr","fdr",,"No car",53,"Yes",,"No","Roosevelt","Roosevelt","Neither","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","ca","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.872929664813964,1.03604167537053
,"California","Pacific Coast","Male","45-54 yrs","or","Unskilled workers",,,"White","Urban",,,,"Labor","Not Professional","West",,"fdr","fdr",,"No car",53,"No","Yes","No","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","ca","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.395121839116121,0.447394076210309
,"Maine","Northeast","Male","35-44 yrs","or","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Northeast",,"fdr","fdr",,"No car",53,"No","Yes","No","Roosevelt","Landon","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","me","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.425908428241295,0.479531630338573
,"Maine","Northeast","Female","25-34 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Northeast",,"fdr","fdr",,"No car",53,,,"No","Roosevelt","Landon","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","me","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,1.59070249766817,1.85369338371838
,"Rhode Island","Northeast","Male","45-54 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Northeast",,"fdr","fdr",,"No car",53,"No","Yes","No","Roosevelt","Roosevelt","Both candidates","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","ri","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.425908428241295,0.479531630338573
,"Illinois","East Central","Male","25-34 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,"Car",53,,"No","No","Roosevelt","Roosevelt","Neither","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","il","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Michigan","East Central","Female","35-44 yrs","P or P+","Other and None",,,"White","Urban",,,,"Other","Not Professional","Midwest",,"fdr","fdr",,"Car",53,"Yes","Yes","No","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","mi","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,1.00529750696792,1.29685398102236
,"Illinois","East Central","Female","45-54 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,"Car",53,"No","Yes","No",,,"Neither","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","il","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,3.56424701485365,3.74360756913113
,"Indiana","East Central","Male","35-44 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,"Car",53,"Yes","Yes","No","Roosevelt","Roosevelt","Neither","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","in","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Ohio","East Central","Male","35-44 yrs","or","Unskilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,"No car",53,"Yes","Yes","No","Landon","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","oh","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Ohio","East Central","Male","45-54 yrs","or","Unskilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,"No car",53,,"Yes","No","Roosevelt","Roosevelt",,"Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","oh","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Illinois","East Central","Male","45-54 yrs","or","Unemployed",,,"Black","Urban",,,,"Unemployed","Not Professional","Midwest",,"fdr","fdr",,"No car",53,"No","Yes","No","Roosevelt","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","il","Non-South","Non-South Black","Non-South","Non-South Black","Non-South","Non-South Black",1936,1.33839167359001,0.579634005535984
,"Iowa","West Central","Male","35-44 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,"Car",53,"No","Yes","No","Roosevelt","Roosevelt","Neither","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","ia","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Minnesota","West Central","Male","35-44 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,"Car",53,"No",,"No","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","mn","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Iowa","West Central","Male",,,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,"Car",53,"Yes","No","No","Roosevelt","Landon","Landon","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","ia","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Iowa","West Central","Male","25-34 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,"Car",53,"No","Yes","No","Roosevelt","Landon",,"Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","ia","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Nebraska","West Central","Male","25-34 yrs","or","Unskilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,"No car",53,,"Yes","No","Roosevelt",,,"Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","ne","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Missouri","West Central","Male","45-54 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,"Car",53,"Yes","Yes","No","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","mo","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.629758549722236,0.683247398850138
,"Kansas","West Central","Male","45-54 yrs","or","Unskilled workers",,,"White","Urban",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,"Car",53,"No","Yes","No","Roosevelt","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","ks","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.308165414420984,0.384917303681016
,"Kansas","West Central","Female","35-44 yrs",,"Skilled workers",,,"White","Farm",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,"Car",53,"Yes","Yes","No","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","ks","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,3.56424701485365,3.74360756913113
,"New York","Middle Atlantic","Male","25-34 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Northeast",,"fdr","fdr",,"No car",53,,"No","No","Roosevelt","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","ny","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.425908428241295,0.479531630338573
,"Pennsylvania","Middle Atlantic","Male","25-34 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Northeast",,"fdr","fdr",,"No car",53,,"Yes","No","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","pa","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.425908428241295,0.479531630338573
,"Pennsylvania","Middle Atlantic","Male","25-34 yrs","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Northeast",,"fdr","fdr",,"Car",53,,,"No","Roosevelt","Landon","Neither","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","pa","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,0.425908428241295,0.479531630338573
,"New Jersey","Middle Atlantic","Female","55 yrs and over","P or P+","Skilled workers",,,"White","Urban",,,,"Labor","Not Professional","Northeast",,"fdr","fdr",,"Car",53,,"Yes","No","Roosevelt",,,"Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","nj","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,1.59070249766817,1.85369338371838
,"West Virginia","Middle Atlantic","Male","55 yrs and over","P or P+","Skilled workers",,,"White","Small town",,,,"Labor","Not Professional","Northeast",,"fdr","fdr",,"Car",53,"No","Yes","No","Roosevelt","Roosevelt","Neither","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","wv","Non-South","Non-South White","Non-South","Non-South White","Non-South","Non-South White",1936,1.82430664982231,1.91625091342536
